Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
5/4/22,38.8,39.8,37.5,37.8,216,85681,3257413
4/29/22,38,38.5,37.6,37.9,243,229573,8734356.6
4/28/22,37.8,37.8,36.1,37.6,408,602048,22577169.2
4/27/22,35,38,35,37.6,361,1408812,50151732.4
4/26/22,36.5,36.5,35,35.3,159,261001,9240505.4
4/25/22,39,39,37.6,38.6,164,53431,2061451.3
4/8/22,41,41,39.5,39.6,374,399655,15901530.2
4/7/22,42,42,40,40.7,223,105876,4347863.8
4/6/22,43,43.4,41.7,42,293,335125,14238152.2
4/5/22,40.9,44.9,40.7,42.9,302,255384,10815289.3
4/4/22,42,42.9,37.6,39.3,467,498424,19827961.2
4/1/22,45,45,42,43.3,87,44614,1973052
3/31/22,48,48,45.5,45.8,411,582597,26943937.6
3/30/22,51.5,52.5,49.6,51.3,507,723229,36265989.5
3/29/22,53,53,51,51.5,585,851138,44234654.4
3/28/22,53.4,54,52.8,52.9,339,2437465,130680834.3
3/25/22,53.7,54,53.2,53.5,185,185169,9921905.3
3/24/22,53.8,53.9,53,53.7,183,309893,16546759.6
3/23/22,54,54,53.5,53.8,142,101897,5484167
3/22/22,53.1,54.5,52.7,53.2,228,427191,22898766.7
3/21/22,53,54,53,53.4,126,81814,4375590.7
3/18/22,52.5,53.6,52.3,52.9,137,169996,9002814.5
3/16/22,53,53.2,51.9,52.2,248,375759,19573828.2
3/15/22,53.3,54,52.2,52.3,327,254328,13416996.1
3/14/22,54.6,54.6,53.2,53.3,110,68803,3693528.7
3/11/22,53.5,54.7,53.1,53.4,190,186905,10012353.1
3/10/22,53.2,54,52.5,53.7,229,209036,11188236.7
3/9/22,53,54,52,52.3,411,276020,14588644.7
3/8/22,54.6,54.6,53.5,53.5,260,368895,19882423.2
3/7/22,54.9,54.9,54,54,164,132132,7156077.7
3/4/22,54,54.7,53.2,54.2,169,486243,26337997
3/3/22,54,54.3,53.5,53.6,209,128632,6930778.4
3/2/22,54.7,55,53.9,54.2,200,257654,13977993.4
2/28/22,53.6,55,53.6,54.9,219,201632,11007767.4
2/25/22,53.1,53.9,52.9,53.6,401,663837,35233999.4
2/24/22,54.5,54.9,53,53.2,449,853146,45803870.4
2/23/22,54.6,54.9,53,54.5,532,430862,23163397.3
2/22/22,54.5,55.8,53,54.8,385,365299,20045781.6
2/21/22,56.1,56.2,53.5,54.2,537,298025,16348993.9
2/18/22,56.1,56.1,55.4,55.8,549,497533,27806226.4
2/17/22,55.6,56.4,55,56,1303,3270255,182901393.4
2/15/22,54,54,53,53.2,185,136031,7270659.7
2/14/22,52.5,54,52.5,53.8,203,229063,12211529.6
2/11/22,52.5,52.9,52,52.7,193,192994,10090591.8
2/10/22,51.9,52.9,51.4,52.2,307,390794,20291668.3
2/9/22,52.5,53.5,51.5,51.7,321,327197,17069522.6
2/8/22,53.2,53.7,51.7,52.3,417,548766,28706910.8
2/7/22,53.7,54,53.3,53.5,243,177740,9505071.7
2/3/22,53.5,54.7,53.3,54,223,867196,46797060.3
2/2/22,54.8,54.8,53.4,53.5,221,449092,24064319.9
2/1/22,53.5,54.8,53.5,53.6,226,152463,8200892.4
1/31/22,54.2,54.8,53.5,53.7,312,283596,15235608.6
1/28/22,54.4,54.6,53.6,54.3,233,205989,11162652.7
1/27/22,54.9,55.2,53,54.6,341,752442,40945719
1/26/22,55.7,55.9,54.6,54.7,268,172430,9489617
1/25/22,56.5,56.5,55.6,55.9,319,948834,53148107.1
1/24/22,56,56.4,55.5,56.1,378,576318,32265987.7
1/21/22,55,56,55,55.8,264,310118,17199458.5
1/20/22,55,55.3,55,55.1,222,522880,28815058.9
1/19/22,54.5,55.8,54.5,55.1,231,1159970,63786364.8
1/18/22,55,55.6,54.5,55,344,800613,43978940
1/13/22,55,55.5,54,55.1,224,242237,13247053.1
1/12/22,55.2,56.1,54.5,55.8,409,1055776,58616112.2
1/11/22,55.9,56,53.9,55.2,499,902754,49646319.2
1/10/22,53.5,56.5,53.5,55.6,1240,3334555,184660598.4
1/7/22,52,53.5,51.9,53,464,1938990,102145140.1
1/6/22,52,52.5,51.9,52.2,235,488107,25431194
1/5/22,52,52.4,51.7,52,431,586864,30514801.4
1/4/22,52,52.2,51.8,52,342,1762402,91590077.2
1/3/22,52.4,52.4,51.7,52,451,1917819,99716043.8
12/31/21,52,52.5,51.7,52.1,226,707377,36812158.8
12/30/21,51.9,52.3,51.6,52,231,750530,38947175.6
12/29/21,52.2,52.5,51.6,51.8,255,366398,18988064.8
12/28/21,51.7,52.4,51.6,52.2,169,231966,12022910.8
12/27/21,51.6,52,51.5,51.7,394,1006380,51923211.3
12/24/21,51.6,52,51.4,51.7,111,101420,5238977.3
12/23/21,51.5,52,51.4,51.6,359,731563,37698923.6
12/22/21,52.2,53,51.5,51.5,269,534452,27677105.4
12/21/21,52.1,52.3,51.4,51.6,530,806356,41575065.3
12/20/21,52.5,53.3,52.1,52.5,355,764662,40361894.3
12/17/21,53,53,52.5,52.7,335,271503,14313691.8
12/16/21,52.9,53.5,52.8,53,357,2149650,113866224
12/15/21,53,53.7,52.6,53.1,442,3665023,195549498.7
12/14/21,53.7,53.7,53,53.5,504,2143374,114453108.2
12/13/21,54,54,53.3,53.5,468,5647011,302180712.1
12/10/21,54,54.2,53.5,53.9,403,2267788,121613463.6
12/9/21,53.8,54.5,53.6,53.8,165,755084,40726409.2
12/8/21,54,54.5,53.5,53.8,177,1270305,68227862.9
12/7/21,54,54.6,53.5,54,341,2954494,159562352.8
12/6/21,53.5,54.2,53.5,53.7,282,1168494,62658801.7
12/3/21,53.5,53.9,53.5,53.6,243,640517,34283484.8
12/2/21,53.5,54.1,53.5,53.7,374,835499,44935275
12/1/21,53.7,53.8,53.4,53.6,417,1661991,88996920.2
11/30/21,53.6,54,53.4,53.7,504,2332314,124870637
11/29/21,53.9,54.5,53.5,54,299,736910,39832833.3
11/26/21,53.7,55.2,53.5,55,444,1851722,100857627.3
11/25/21,53.6,54,53.5,53.8,281,1148099,61538135.5
11/24/21,53.5,53.8,53.4,53.6,260,574839,30786931.5
11/23/21,54.2,54.5,53.2,53.3,227,554683,29625138.6
11/22/21,53,54.9,53,53.7,279,674859,35883295.8
11/19/21,53.6,53.6,53,53,427,897097,47679461.8
11/17/21,53.5,54.5,53,53.6,471,1303641,69381994.6
11/16/21,53.7,53.7,53,53.5,351,987760,52798966.4
11/15/21,53,54,51.2,53.4,843,1038856,55377353.3
11/12/21,56,56.9,55,55.5,493,1998659,111252868.7
11/11/21,55.8,55.8,54.6,55.4,277,869232,47905935.4
11/10/21,54.9,55.9,54.5,55.6,254,267121,14745470.8
11/9/21,55.1,55.2,54.1,55,538,1127278,61985887.7
11/8/21,56.3,56.3,55,55.4,374,441362,24506448.9
11/5/21,56.8,56.9,56,56.2,369,348351,19639222.2
11/3/21,57,57.7,56.7,56.9,312,259740,14801465.2
11/2/21,57,59,56.8,57.3,323,1190252,68067377.1
11/1/21,57,57.7,56.6,57.3,448,1221448,69909069.8
10/29/21,57,57.2,56.1,57,349,1410666,80185533
10/28/21,57,57.7,56.5,57,417,508028,29021272.4
10/27/21,56.4,57,55.8,56.7,436,831571,46793154.5
10/26/21,56,56.9,55.9,56.5,302,466884,26316970.1
10/25/21,56.5,57,55.9,56.1,430,659155,37140632.1
10/22/21,56.5,57.1,56.5,56.9,532,787262,44776439.1
